纽曼,NM,NEWSMY纽曼,NEWSMY
土星一号,NIBIRU,NIBIRU,NIBIRU
木星一号,NIBIRU,NIBIRU,NIBIRU
火星一号,NIBIRU,NIBIRU,NIBIRU
,SONIM,SONIM,SONIM
步步高,VIVO,VIVO,VIVO
,XPLAY,VIVO,VIVO
一加手机,ONEPLUS,一加,ONEPLUS
一加,ONE,一加,ONEPLUS
一言,DS,一言,
,,七喜,
七彩虹,COLORFUL,七彩虹,COLORFUL
万事通,,万事通,
万利达,,万利达,
万和,VANHE,万和,VANHE
万顺达,,万顺达,
,SCH,三星,SAMSUNG
,SM,三星,SAMSUNG
阿玛尼,,三星,SAMSUNG
盖世,,三星,SAMSUNG
盖乐世,GALAXY,三星,SAMSUNG
盖乐士,GALAXY,三星,SAMSUNG
,SMART-TV,三星,SAMSUNG
三星,SAMSUNG,三星,SAMSUNG
,GRAVITY,三星,SAMSUNG
,SGH,三星,SAMSUNG
三洋,SANYO,三洋,SANYO
上广电,SVA,上广电,SVA
世纪格雷,CEN-GRAND,世纪格雷,CEN-GRAND
世酷,GOCOOL,世酷,GOCOOL
东芝,TOSHIBA,东芝,TOSHIBA
东芝英,TONSHIYN,东芝英,TONSHIYN
东门子,SAMOS,东门子,SAMOS
中兴鹰眼,ZTE,中兴,ZTE
星星,ZTE,中兴,ZTE
红牛手机,ZTE,中兴,ZTE
AXON天机,ZTE,中兴,ZTE
中兴,ZTE,中兴,ZTE
,BLADE,中兴,ZTE
雅典娜,GRAND,中兴,ZTE
星星一号,,中兴,ZTE
中国移动,CMCC,中国移动,CMCC
中柏,JUMPER,中柏,JUMPER
,,主场,
久德,JD,久德,JD
乐凡,LIVEFAN,乐凡,LIVEFAN
乐华,ROWA,乐华,ROWA
乐唯,INEWAY,乐唯,INEWAY
,GPAD,乐天派,LETIANPAI
,,乐播,
,OINOM,乐目,OINOM
,,乐看,
乐视,LS,乐视,LETV
乐视屏霸,LS,乐视,LETV
,LETV,乐视,LETV
,UMAX,乐视TV,LETV
,UNIQUE,乐视TV,LETV
乐视盒子,,乐视TV,LETV
乔智亚,GEORGIA,乔智亚,GEORGIA
,GAW,乔智亚,GEORGIA
,,云狐,
互联移动,HUNYDON,互联移动,HUNYDON
五元素,IFIVE,五元素,IFIVE
亚马逊,AMAZON,亚马逊,AMAZON
亚马逊,KINDLE,亚马逊,AMAZON
亚马逊Fire,FIRE,亚马逊,AMAZON
亿播,EBOX,亿播,EBOX
亿格瑞,EGREAT,亿格瑞,EGREAT
,,亿莱科特,
今视通,KINSTONE,今视通,KINSTONE
,UMD,今视通,KINSTONE
任E行,UM,任E行,
,,任易航,
,,优E本,
优优平板,CREATED,优优平板,CREATED
,CUTEPAD,优优平板,CREATED
,,优择,
,HMP,优派,VIEWSONIC
优派,VIEWSONIC,优派,VIEWSONIC
,VIEWPAD,优派,VIEWSONIC
,,优群,
优蓝博,VIEWLAB,优蓝博,VIEWLAB
优豊,UPHONE,优豊,UPHONE
优酷,YK,优酷,YK
伟卓,VENTURER,伟卓,VENTURER
伟彦,WEIYAN,伟彦,WEIYAN
,SURGE,伟彦,WEIYAN
,,伟禄,
传奇,SAGA,传奇,SAGA
佳的美,GADMEI,佳的美,GADMEI
信利,NETPAD,信利,
偶爱,OIOI,偶爱,OIOI
傲科,AOCO,傲科,AOCO
,,元谷,
兆驰,MSTV,兆驰,
先明迪,SASTMD,先明迪,SASTMD
先科,SAST,先科,SAST
先锋,PIONEER,先锋,PIONEER
,,全普,
六虹,LIUNX ,六虹,LIUNX
,BREEZE,冠捷,AOC
创佳,CANCA,创佳,CANCA
创新,CREATIVE,创新,CREATIVE
,ZIIO,创新,CREATIVE
,,创星,
创维,SKYWORTH,创维,SKYWORTH
创维盒子,SKYWORTH,创维,SKYWORTH
,,别致,
,,力喜,
努比亚,NUBIA,努比亚,NUBIA
布拉格,,努比亚,NUBIA
劲霸王,JBW,劲霸王,JBW
,,北大同创,
,,千山,
半岛铁盒,BANDBOX,半岛铁盒,BANDBOX
华为,HUAWEI,华为,HUAWEI
畅想,ASCEND,华为,HUAWEI
,MEDIAPAD,华为,HUAWEI
,MT7,华为,HUAWEI
,HW,华为,HUAWEI
荣耀畅玩,,华为,HUAWEI
麦芒,,华为,HUAWEI
华度,HUADOO,华度,HUADOO
,BDP,华录,HUALU
,,华数,
华硕,ASUS,华硕,ASUS
飞马,ASUS,华硕,ASUS
,ZENPAD,华硕,ASUS
飞行者,,华银,
,,华锋E路航,
卓尼斯,ZENITHINK,卓尼斯,ZENITHINK
,,卓擎,
卓普,ZOPO,卓普,ZOPO
博本,BBEN,博本,BBEN
卡布休,CAPPSU,卡布休,CAPPSU
卡布奇诺,CAPPU,卡布奇诺,CAPPU
印象壹本,IMPRESSION,印象壹本,IMPRESSION
原道,VIDO,原道,VIDO
厦华,XOCECO,厦华,XOCECO
,,友派,
可欧,KO,可欧,KO
可视多,COSDA,可视多,COSDA
台电,TECLAST,台电,TECLAST
同方,THTF,同方,THTF
同洲,MOLY,同洲,MOLY
,,听海,
,,唯视,
四意,SAAYI,四意,SAAYI
国美,GOME,国美,GOME
图灵,TURING,图灵,TURING
图美,NOONTEC,图美,NOONTEC
,,垦鑫达,
夏新,AMOI,夏新,AMOI
夏普,SHARP,夏普,SHARP
,AQUOS,夏普,SHARP
,,大唐电信,
酷派,COOLPAD,大神,COOLPAD
,,大陆桥,
大麦盒子,Domy,大麦,Domy
,,天和瑞,
天敏,10MOONS,天敏,TIANMIN
,,天比高,
天猫魔盒,TMALL,天猫,TMALL
天翼视讯,TV189,天翼视讯,TV189
天语,,天语,K-TOUCH
奇酷,QIKU,奇酷,QIKU
,,奈威,
奥丽维亚,OLEVIA,奥丽维亚,OLEVIA
奥克斯,,奥克斯,AUX
,,奥可视,
,,好派,
,VBOX,威播视,VBOX
,,宇瞻,
,LIMHD,宇脉,
,,守护宝,
,,安多拉,
,ONKYO,安桥,ONKYO
,ANHUBPAD,安港,ANHUBPAD
安立信,,安立信,
安酷,ENCORE,安酷,ENCORE
宏碁,ACER,宏碁,ACER
,ICONIA,宏碁,ACER
,POLAROID,宝丽来,POLAROID
,,实益达,
富可视,INFOCUS,富可视,INFOCUS
,,富士莱,
富士通,FUJITSU,富士通,FUJITSU
,,小宇宙,
小机器,IROBOT,小机器人,IROBOT
,,小格雷,
,MI,小米,XIAOMI
红米,REDMI,小米,XIAOMI 
红米,HM,小米,XIAOMI
小米,XIAOMI,小米,XIAOMI
小米Note,,小米,XIAOMI 
小米电视,,小米,XIAOMI 
小米平板,,小米,XIAOMI 
小米盒子,,小米,XIAOMI 
红辣椒,LA,小辣椒,XIAOLAJIAO
小辣椒,LA,小辣椒,XIAOLAJIAO
,,尚伊,
尚派,SUNPAD,尚派,SUNPAD
,SAGO,尚科,SAGO
尼派,MINTPIE,尼派,MINTPIE
尼索,NESO,尼索,NESO
山水,SANSUI,山水,SANSUI
巴诺,BARNES,巴诺,BARNES
希捷,SEAGATE,希捷,SEAGATE
,FREEAGENT,希捷,SEAGATE
希科普,SCOPAD,希科普,SCOPAD
,,幻想兔,
广百思,GBS,广百思,
康佳,KONKA,康佳,KONKA
开博尔,KAIBOER,开博尔,KAIBOER
,PRIME,彩石,PRIME
彩虹在线,COLORFULINE,彩虹在线,COLORFULINE
,,影乐,
,,影奥,
,INENG,影能,INENG
影驰,GALAZ,影驰,GALAZ
得丽珑,DLL,得丽珑,DLL
微力士,MINIX,微力士,MINIX
,NEO,微力士,MINIX
,MSI,微星,MSI
,,微莎,
微蜂,MICROBEE,微蜂,MICROBEE
微软,MICROSOFT,微软,MICROSOFT
,LUMIA,微软,MICROSOFT
,SURFACE,微软,MICROSOFT
,VCOOL,微酷,VCOOL
微鲸,WHALEY,微鲸,WHALEY
,EDP,必胜达,
,,忆典,
忆捷,EAGET,忆捷,EAGET 
,,快播,
,,快易播,
,SIGO,思歌,SIGO
,,思百德,
,,悦动,
,HTTD,惠拓,
,HP,惠普,HP
,HPC,惠浦,HPC
,,意龙,
,,我播,
戴尔,DELL,戴尔,DELL
,VENUE,戴尔,DELL
技嘉,GIGABYTE,技嘉,GIGABYTE
,,拓步,
,,掌上宝,
摩托罗拉,MOTOROLA,摩托罗拉,MOTOROLA
,,摩特美迪,
播乐视界,BOLLO,播乐视界,BOLLO
,,数源,
,,数码特,
,PMP,数码特,
斐讯,PHICOMM,斐讯,PHICOMM
斯贝,SYSBAY,斯贝,SYSBAY
,SINA,新浪,SINA
新石器,NEOLIX,新石器,NEOLIX
新科,SHINCO,新科,SHINCO
,DTV,新科,SHINCO
,CINEMA,方吐司,
,,方正,
,HITACHI,日立,HITACHI
,,昂索,
昂达,ONDA,昂达,ONDA
昊派,HOPAD,昊派,HOPAD
明基,BENQ,明基,BENQ
,,易享,
易如,NEXT,易如NEXTFUN,NEXTFUN
,,易方,
,EBOX,易点播,EBOX
,EZLOVE,易百年,EZLOVE
易美逊,EPI,易美逊,EPI
星影院,DBL,星影院,
,,昱捷讯,
,HDP,普德赛,
普耐尔,PLOYER,普耐尔,PLOYER
,SHOWPAD,普诺SHOWPAD,SHOWPAD
,,景临,
景讯欣,SU3D,景讯欣,SU3D
智器,SMARTQ,智器,SMARTQ
,,智尚,
,,智想,
芒果冰,ZIVOO,智我,ZIVOO
,ZICH,智触,ZICH
暴风TV,BAOFENG,暴风TV,BAOFENG
,,朗斯,
,RUGGEAR,朗界,RUGGEAR
,NETAC,朗科,NETAC
,,朗视,
,,本易,
,,本色,
朵唯,DOOV,朵唯,DOOV
,IEVA,朵唯,DOOV
,DUNE,杜恩DUNE HD,DUNE
,GIEC,杰科,GIEC
杰科,GK,杰科,GIEC
松下,PANASONIC,松下,PANASONIC
,,松奥,
极度,HMAX,极度,HMAX
,,柒嘉,
,EKTRA,柯达,EKTRA
,GREE,格力,GREE
桔豆盒子,JUDOU,桔豆,JUDOU
欧PAD,OUPAD,欧PAD,OUPAD
欧恩,ONN,欧恩,ONN
,OLIVEPAD,欧畅,OLIVEPAD
欧盛,IOCEAN,欧盛,IOCEAN
,OMA,欧美亚,OMA
,,欧达风,
欧风,FINE,欧风,FINE
欧魅,OUMEI,欧魅,OUMEI
,KOLIN,歌林,KOLIN
歌美,GEMEI,歌美,GEMEI
步步高 小天才,,步步高,BBK
毕升,GORLDPAD,毕升,GORLDPAD
,,水木年华,
,,汇威,
汇泽,HIZEE,汇泽,HIZEE
汉王,HANVON,汉王,HANVON
,PANTECH,泛泰,PANTECH
,BIRD,波导,BIRD
泰捷,TOGIC,泰捷WEBOX,TOGIC
,,浦威斯,
,PLEXTOR,浦科特,PLEXTOR
海信,HISENSE,海信,HISENSE
海尔,HAIER,海尔,HAIER
模卡,HAIER,海尔,HAIER
海岸星,ACOASTAR,海岸星,ACOASTAR
,,海纳,
海美迪,HIMEDIA,海美迪,HIMEDIA
清华同方,LC,清华同方,TONGFANG
,,清华紫光,
,,溶智,
,HANNS,瀚斯宝丽,HANNSPREE
,,灵云,
,,灵动云莓,
灿凌,SHINING,灿凌,SHINING
熊猫,PANDA,熊猫,PANDA
爱仕本,AZPEN,爱仕本,AZPEN
,ACEN,爱信,ACEN
爱可视,ARCHOS,爱可视,ARCHOS
爱国者,AIGO,爱国者,AIGO
,,爱帕,
,INOTE,爱彼,INOTE
,Lovme,爱我,Lovme
,AISHUO,爱硕,AISHUO
爱立顺,AOSON,爱立顺,AOSON
,BDP,爱视达,
,,爱魅,
,,独影天幕,
,,玛王,
现代,HYUNDAI,现代,HYUNDAI
琥珀,COOPER,琥珀,COOPER
瑞智,LONDGE,瑞智,LONDGE
,VIZIO,瑞轩,VIZIO
,,电视果,
,,画中飞,
,PEPSI,百事,PEPSI
,BIHEE,百合,BIHEE
百度影棒,BAIDU,百度,BAIDU
,ROCKETFISH,百思买,ROCKETFISH
,,百时通,
,,皮尔卡丹,
,ETOM,益通ETOM,ETOM
,HOTS,盒天下,HOTS
盘古,PANGOO,盘古,PANGOO
,,睿虎,
,SEATAY,硕力泰SEATAY,SEATAY
,,硕颖,
碧维视,BEVIX,碧维视,BEVIX
,BV,碧维视,BEVIX
神舟,HASEE,神舟,HASEE
,,神行者,
,DEITYCOOL,神酷,DEITYCOOL
,SHOWKEY,秀可视,SHOWKEY
,KENTE,科特,KENTE
科诺,KENUO,科诺,KENUO
,COLOVO,科诺威,COLOVO
,,第五元素,
,,简爱,
,,米蓝,
索亚,SOOYAR,索亚SOOYAR,SOOYAR
索利,SONLY,索利,SONLY
索尼,SONY,索尼,SONY
,KDL,索尼,SONY
,KLV,索尼,SONY
,XPERIA,索尼移动,SONY
索尼爱立信,,索尼移动,SONY
,,索立信,SONY
索野,SOYES,索野,SOYES
纽曼,NEWSMY,纽曼,NEWSMY
,,绅士,
,LEADER,统帅,LEADER
,VTION,网讯,VTION
,MANYTEL,美利多,MANYTEL
,MEITU,美图,MEITU
美如画,MYGICA,美如画,MYGICA
,,美格,
,,美派,
,,美猴王,
,,美迪特,
,JEAN,美齐,JEAN
联想,LENOVO,联想,LENOVO
,IDEAPAD,联想,LENOVO
,YOGA,联想,LENOVO
黄金斗士,,联想,LENOVO
联想智能电视,,联想,LENOVO
,THINKPAD,联想THINKPAD,THINKPAD
,,联想X2,LENOVO
,ZUK,联想ZUK,LENOVO
腾圆,TY,腾圆,
,,艾利信,
,IRIVER,艾利和,IRIVER
,IVT,艾炜特,IVT
艾玛威,AMAWAY,艾玛威,AMAWAY
,IOMEGA,艾美加,IOMEGA
艾诺,AINOL,艾诺,AINOL
英伟达,NVIDIA,英伟达,NVIDIA
舒影,YITOA,英唐,YITOA
,IMPHIC,英菲克,IMPHIC
,ENGOOL,英谷,
,APPLE,苹果,APPLE
,IPAD,苹果,APPLE
,IPHONE,苹果,APPLE
,IPOD,苹果,APPLE
,RONOMAP,荣图,RONOMAP
荣耀,HONNOR,荣耀,HONNOR
荣耀畅玩,,荣耀,HONNOR
,,莱檬,
,,蓝天使,
,SAPPHIRE,蓝宝石,SAPPHIRE
,BLUEING,蓝影,BLUEING
,BMORN,蓝晨,BMORN
,,蓝碟,
,,蓝色时代,
,,蓝钜,
蓝魔,RAMOS,蓝魔,RAMOS
,,虹PAD,
,WD,西部数据,WD
,,视听宝,
,,视美泰,
,,言信,
,,诺亚讯,
诺基亚LUMIA,,诺基亚,NOKIA
,SEMAPHONE,诺基亚,NOKIA
诺基亚,NOKIA,诺基亚,NOKIA
,VERTU,诺基亚,NOKIA
,,诺美佳,
,READBOY,读书郎,READBOY
谷歌,GOOGLE,谷歌,GOOGLE
,NEXUS,谷歌,GOOGLE
,SCEPTRE,赛普特,SCEPTRE
,,赛维克,
,SUPERD,超多维,SUPERD
,,辛乐仕,
,,迅扬,
迈乐,MELE,迈乐,MELE
,,迪优美特,
迪赛,DISUN,迪赛,DISUN
,TUWEI,途为,TUWEI
,EAST,速锐,MID
,BOWAY,邦华,BOWAY
,,酷丽客,
酷开,COOCAA,酷开,COOCAA
,,酷播,
酷比,KOOBEE,酷比,KOOBEE
酷比魔方,CUBE,酷比魔方,CUBE
酷派,COOLPAD,酷派,COOLPAD
,GN,金立,GIONEE
,,金飞龙,
,,鑫奇,
,,铭瑄,
,,铭鑫,
,,铼德,
,,锋哲,
,COSMO,锋柯,COSMO
,,锐明视讯,
,,锐菲,
老罗手机,,锤子科技,SMARTISAN
,SMARTISAN,锤子科技,SMARTISAN
,GREATWALL,长城,GREATWALL
,CHANGHONG,长虹,CHANGHONG
阿尔卡特OT,,阿尔卡特,ALCATEL
,CLOAKME1,阔密,CLOAKME1
,,随芯随E,
雅佳,AKAI,雅佳,AKAI
,,雅马亚虎,
,RATV,雷柏,RAPOO
,RAZER,雷蛇,RAZER
,FFALCON,雷鸟,FFALCON
青想,KINGSUN,青想,KINGSUN
青橙,GO,青橙,GO
,,青葱,
,,韩国KT,
,TOP,顶尖,TOP
,,顶鼎,
,LEMHOOV,领虎,LEMHOOV
风行电视,,风行,
,PHILIPS,飞利浦,PHILIPS
,,飞思卡尔,
,SHOWN,首云,SHOWN
,,驭乐,
,CHUWI,驰为,CHUWI
,,高清数码,
高清锐视,HDVISION,高清锐视,HDVISION
魅族,MEIZU,魅族,MEIZU
魅蓝,MEIZU,魅族,MEIZU
,MX,魅族,MEIZU
,,魔方,
,UNT,魔百盒,
,,魔盒,
,,鸿宇星,
黑莓,BLACKBERRY,黑莓,BLACKBERRY
,,鼎天,
,LONGWIN,龙云,LONGWIN
龙酷,LUFTCO,龙酷,LUFTCO
